title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
일곱난쟁이,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['가족'])]",20141224,87,전체관람가,헤랄드 지페르만,0,0,일곱난쟁이,20143602,2014-12-24,176365.0
숲속으로,[dict_values(['뮤지컬'])],20141224,124,전체관람가,롭 마샬,0,6,숲속으로,20143422,2014-12-24,307607.0
개를 훔치는 완벽한 방법,"[dict_values(['드라마']), dict_values(['가족'])]",20141231,109,전체관람가,김성호,256,18,개를 훔치는 완벽한 방법,20130574,2014-12-31,179136.0
상의원,"[dict_values(['사극']), dict_values(['드라마'])]",20141224,127,15세이상관람가,이원석,291,24,상의원,20147176,2014-12-24,778719.0
눈의 여왕 2: 트롤의 마법거울,"[dict_values(['애니메이션']), dict_values(['판타지']), dict_values(['가족'])]",20141224,78,전체관람가,알렉세이 트시칠린,0,0,눈의 여왕 2: 트롤의 마법거울,20143344,2014-12-24,594955.0
언브로큰,"[dict_values(['액션']), dict_values(['드라마']), dict_values(['전쟁'])]",20150107,137,15세이상관람가,안젤리나 졸리,0,4,언브로큰,20149948,2015-01-07,238849.0
기술자들,"[dict_values(['범죄']), dict_values(['액션'])]",20141224,116,15세이상관람가,김홍선,389,30,기술자들,20149265,2014-12-24,2540957.0
타임 패러독스,"[dict_values(['SF']), dict_values(['스릴러'])]",20150107,97,15세이상관람가,마이클 스피어리그,0,3,타임 패러독스,20144481,2015-01-07,78548.0
호빗: 다섯 군대 전투,"[dict_values(['어드벤처']), dict_values(['판타지'])]",20141217,144,12세이상관람가,피터 잭슨,0,8,호빗: 다섯 군대 전투,20140226,2014-12-17,2829398.0
테이큰 3,"[dict_values(['액션']), dict_values(['범죄']), dict_values(['스릴러'])]",20150101,111,15세이상관람가,올리비에 메가턴,0,5,테이큰 3,20143642,2015-01-01,1995730.0
패딩턴,"[dict_values(['코미디']), dict_values(['가족']), dict_values(['어드벤처'])]",20150107,95,전체관람가,폴 킹,0,4,패딩턴,20144523,2015-01-07,304134.0
"님아, 그 강을 건너지 마오",[dict_values(['다큐멘터리'])],20141127,85,전체관람가,진모영,45,2,"님아, 그 강을 건너지 마오",20141111,2014-11-27,4759383.0
마다가스카의 펭귄,"[dict_values(['애니메이션']), dict_values(['코미디']), dict_values(['어드벤처']), dict_values(['가족'])]",20141231,91,전체관람가,에릭 다넬,0,6,마다가스카의 펭귄,20149859,2014-12-31,1628529.0
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,[dict_values(['애니메이션'])],20150114,98,전체관람가,유야마 쿠니히코,0,0,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,20142962,2015-01-14,226749.0
존 윅,"[dict_values(['액션']), dict_values(['스릴러'])]",20150121,101,청소년관람불가,채드 스타헬스키,0,3,존 윅,20143253,2015-01-21,110001.0
엑스 마키나,"[dict_values(['SF']), dict_values(['스릴러'])]",20150121,108,청소년관람불가,알렉스 가랜드,0,3,엑스 마키나,20145521,2015-01-21,67459.0
와일드,[dict_values(['드라마'])],20150122,115,청소년관람불가,장 마크 발레,0,3,와일드,20145021,2015-01-22,22652.0
허삼관,[dict_values(['드라마'])],20150114,123,12세이상관람가,하정우,295,30,허삼관,20131262,2015-01-14,948101.0
빅 아이즈,[dict_values(['드라마'])],20150128,105,12세이상관람가,팀 버튼,0,2,빅 아이즈,20144507,2015-01-28,74017.0
워터 디바이너,"[dict_values(['드라마']), dict_values(['전쟁'])]",20150128,111,15세이상관람가,러셀 크로우,0,3,워터 디바이너,20144102,2015-01-28,123600.0
박물관이 살아있다 : 비밀의 무덤,"[dict_values(['어드벤처']), dict_values(['코미디']), dict_values(['가족'])]",20150114,97,전체관람가,숀 레비,0,6,박물관이 살아있다 : 비밀의 무덤,20143541,2015-01-14,1076461.0
