title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
2012,"[dict_values(['SF']), dict_values(['액션']), dict_values(['어드벤처'])]",20091112,157,12세이상관람가,롤랜드 에머리히,0,5,2012,20090685,2009-11-12,5395350.0
파르나서스 박사의 상상극장,"[dict_values(['판타지']), dict_values(['어드벤처']), dict_values(['미스터리'])]",20091223,122,12세이상관람가,테리 길리엄,0,6,파르나서스 박사의 상상극장,20090089,2009-12-23,453460.0
러브 매니지먼트,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20091231,93,15세이상관람가,스티븐 벨버,0,2,러브 매니지먼트,20090859,2009-12-31,9647.0
쏘우-여섯번의 기회,"[dict_values(['공포(호러)']), dict_values(['미스터리']), dict_values(['범죄'])]",20100107,90,청소년관람불가,케빈 그루터트,0,3,쏘우-여섯번의 기회,20090833,2010-01-07,5403.0
위대한 침묵,[dict_values(['다큐멘터리'])],20091203,168,전체관람가,필립 그로닝,0,0,위대한 침묵,20090840,2009-12-03,41604.0
포켓 몬스터 DP: 아르세우스 초극의 시공으로,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['판타지']), dict_values(['액션'])]",20091224,95,전체관람가,유야마 쿠니히코,0,1,포켓 몬스터 DP: 아르세우스 초극의 시공으로,20090860,2009-12-24,304135.0
나인,"[dict_values(['멜로/로맨스']), dict_values(['뮤지컬'])]",20091231,118,15세이상관람가,롭 마샬,0,4,나인,20090891,2009-12-31,479652.0
극장판파워레인저 엔진포스VS 와일드스피릿,"[dict_values(['SF']), dict_values(['액션'])]",20100107,50,전체관람가,모로타 사토시,0,7,극장판파워레인저 엔진포스VS 와일드스피릿,20090893,2010-01-07,120647.0
더 로드,"[dict_values(['SF']), dict_values(['드라마']), dict_values(['스릴러'])]",20100107,111,15세이상관람가,존 힐코트,0,3,더 로드,20090864,2010-01-07,166999.0
아빠가 여자를 좋아해,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100114,113,12세이상관람가,이광재,204,11,아빠가 여자를 좋아해,20090890,2010-01-14,145052.0
웨딩드레스,[dict_values(['드라마'])],20100114,110,전체관람가,권형진,175,20,웨딩드레스,20090892,2010-01-14,103878.0
앨빈과 슈퍼밴드2,"[dict_values(['가족']), dict_values(['코미디']), dict_values(['드라마'])]",20091230,88,전체관람가,베티 토머스,0,3,앨빈과 슈퍼밴드2,20090861,2009-12-30,584563.0
셜록 홈즈,"[dict_values(['미스터리']), dict_values(['범죄']), dict_values(['어드벤처'])]",20091223,128,12세이상관람가,가이 리치,0,2,셜록 홈즈,20090856,2009-12-23,2163155.0
8인: 최후의 결사단,"[dict_values(['액션']), dict_values(['사극'])]",20100121,138,15세이상관람가,진덕삼,0,5,8인: 최후의 결사단,20090916,2010-01-21,101166.0
공주와 개구리,"[dict_values(['애니메이션']), dict_values(['멜로/로맨스'])]",20100121,98,전체관람가,존 머스커,0,3,공주와 개구리,20090850,2010-01-21,73560.0
주문진,"[dict_values(['드라마']), dict_values(['멜로/로맨스']), dict_values(['판타지'])]",20100121,96,12세이상관람가,하명중,120,9,주문진,20090917,2010-01-21,61459.0
500일의 썸머,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100121,95,15세이상관람가,마크 웹,0,4,500일의 썸머,20090683,2010-01-21,128784.0
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,"[dict_values(['공연']), dict_values(['다큐멘터리'])]",20100122,123,전체관람가,서태지,2,1,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,20100030,2010-01-22,16013.0
용서는 없다,"[dict_values(['범죄']), dict_values(['스릴러'])]",20100107,125,청소년관람불가,김형준,219,30,용서는 없다,20090888,2010-01-07,1114723.0
아스트로 보이-아톰의 귀환,"[dict_values(['애니메이션']), dict_values(['액션']), dict_values(['SF'])]",20100113,93,전체관람가,데이빗 보워스,0,7,아스트로 보이-아톰의 귀환,20090821,2010-01-13,392409.0
춤추는 꿈틀이 밴드,"[dict_values(['애니메이션']), dict_values(['가족']), dict_values(['코미디'])]",20100204,80,전체관람가,토마스 보르히 닐슨,0,3,춤추는 꿈틀이 밴드,20100011,2010-02-04,8578.0
전우치,"[dict_values(['액션']), dict_values(['코미디']), dict_values(['판타지'])]",20091223,136,12세이상관람가,최동훈,473,56,전우치,20090077,2009-12-23,6047684.0
꼬마 니콜라,"[dict_values(['가족']), dict_values(['코미디'])]",20100128,91,전체관람가,로랑 티라르,0,3,꼬마 니콜라,20090897,2010-01-28,192517.0
주유소 습격사건 2,"[dict_values(['액션']), dict_values(['코미디'])]",20100121,111,15세이상관람가,김상진,276,32,주유소 습격사건 2,20090895,2010-01-21,728302.0
들어는 봤니? 모건 부부,"[dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20100128,103,15세이상관람가,마크 로렌스,0,2,들어는 봤니? 모건 부부,20090913,2010-01-28,112585.0
헤이트 발렌타인데이,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100204,89,12세이상관람가,니아 발다로스,0,2,헤이트 발렌타인데이,20090944,2010-02-04,16097.0
파라노말 액티비티,"[dict_values(['공포(호러)']), dict_values(['미스터리']), dict_values(['스릴러'])]",20100113,85,12세이상관람가,오렌 펠리,1,3,파라노말 액티비티,20090857,2010-01-13,438298.0
식객2 : 김치전쟁,[dict_values(['드라마'])],20100128,119,전체관람가,김길형,254,34,식객2 : 김치전쟁,20090926,2010-01-28,440715.0
발렌타인 데이,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100211,125,15세이상관람가,게리 마샬,0,15,발렌타인 데이,20090945,2010-02-11,143732.0
하치 이야기,"[dict_values(['드라마']), dict_values(['가족'])]",20100218,93,전체관람가,라세 할스트롬,0,3,하치 이야기,20100039,2010-02-18,82220.0
공자 춘추전국시대,"[dict_values(['드라마']), dict_values(['액션']), dict_values(['사극'])]",20100211,108,12세이상관람가,후메이,0,2,공자 춘추전국시대,20100017,2010-02-11,363896.0
원피스 극장판: 스트롱 월드,"[dict_values(['애니메이션']), dict_values(['판타지'])]",20100211,113,전체관람가,사카이 무네히사,0,2,원피스 극장판: 스트롱 월드,20100012,2010-02-11,115267.0
울프맨,"[dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100211,102,청소년관람불가,조 존스톤,0,5,울프맨,20090929,2010-02-11,262419.0
엘라의 모험 2: 백설공주 길들이기,"[dict_values(['가족']), dict_values(['애니메이션']), dict_values(['어드벤처'])]",20100225,71,전체관람가,보이드 커클랜드,0,4,엘라의 모험 2: 백설공주 길들이기,20100063,2010-02-25,43747.0
클로이,"[dict_values(['드라마']), dict_values(['스릴러'])]",20100225,95,청소년관람불가,아톰 에고이안,0,3,클로이,20100090,2010-02-25,106157.0
하늘에서 음식이 내린다면,"[dict_values(['애니메이션']), dict_values(['가족'])]",20100211,90,전체관람가,필 로드,0,4,하늘에서 음식이 내린다면,20090718,2010-02-11,633173.0
커플 테라피: 대화가 필요해,[dict_values(['코미디'])],20100225,112,15세이상관람가,피터 빌링슬레이,0,7,커플 테라피: 대화가 필요해,20100028,2010-02-25,17713.0
우리가 꿈꾸는 기적: 인빅터스,[dict_values(['드라마'])],20100304,133,전체관람가,클린트 이스트우드,0,2,우리가 꿈꾸는 기적: 인빅터스,20100105,2010-03-04,73127.0
포스 카인드,"[dict_values(['SF']), dict_values(['미스터리']), dict_values(['스릴러'])]",20100225,97,15세이상관람가,올라턴드 오선샌미,2,2,포스 카인드,20100077,2010-02-25,209789.0
퍼시 잭슨과 번개 도둑,"[dict_values(['판타지']), dict_values(['어드벤처'])]",20100211,118,12세이상관람가,크리스 콜럼버스,0,6,퍼시 잭슨과 번개 도둑,20090923,2010-02-11,1821691.0
러블리 본즈,"[dict_values(['범죄']), dict_values(['드라마']), dict_values(['판타지'])]",20100225,135,15세이상관람가,피터 잭슨,0,3,러블리 본즈,20090865,2010-02-25,207920.0
대병소장,"[dict_values(['액션']), dict_values(['코미디'])]",20100311,95,12세이상관람가,장성,0,2,대병소장,20100115,2010-03-11,83121.0
사랑은 언제나 진행중,"[dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20100311,93,15세이상관람가,바트 프룬디치,0,2,사랑은 언제나 진행중,20100029,2010-03-11,45825.0
평행이론,"[dict_values(['스릴러']), dict_values(['액션']), dict_values(['드라마']), dict_values(['미스터리'])]",20100218,110,15세이상관람가,권호영,273,22,평행이론,20090160,2010-02-18,913423.0
디어 존,"[dict_values(['드라마']), dict_values(['멜로/로맨스']), dict_values(['전쟁'])]",20100304,107,12세이상관람가,라세 할스트롬,0,2,디어 존,20100098,2010-03-04,187030.0
하모니,[dict_values(['드라마'])],20100128,115,12세이상관람가,강대규,234,36,하모니,20090914,2010-01-28,3004402.0
프롬 파리 위드 러브,"[dict_values(['액션']), dict_values(['스릴러']), dict_values(['범죄'])]",20100311,94,청소년관람불가,피에르 모렐,0,2,프롬 파리 위드 러브,20100101,2010-03-11,359795.0
데이브레이커스,"[dict_values(['드라마']), dict_values(['스릴러']), dict_values(['액션'])]",20100318,98,청소년관람불가,마이클 스피어리그,0,4,데이브레이커스,20090932,2010-03-18,128076.0
무법자,"[dict_values(['드라마']), dict_values(['범죄']), dict_values(['스릴러'])]",20100318,94,청소년관람불가,김철한,187,24,무법자,20100075,2010-03-18,155763.0
사랑은 너무 복잡해,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100311,120,청소년관람불가,낸시 마이어스,0,3,사랑은 너무 복잡해,20090894,2010-03-11,217831.0
폭풍전야,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100401,104,청소년관람불가,조창호,178,8,폭풍전야,20090331,2010-04-01,45134.0
비밀애,[dict_values(['멜로/로맨스'])],20100325,111,청소년관람불가,권지연,300,10,비밀애,20100107,2010-03-25,158518.0
의형제,"[dict_values(['드라마']), dict_values(['액션'])]",20100204,116,15세이상관람가,장훈,276,35,의형제,20090904,2010-02-04,5410669.0
솔로몬 케인,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['판타지'])]",20100325,104,청소년관람불가,M.J. 버세트,0,3,솔로몬 케인,20100116,2010-03-25,123797.0
소명 2-모겐족의 월드컵,[dict_values(['다큐멘터리'])],20100401,92,전체관람가,신현원,16,4,소명 2-모겐족의 월드컵,20100158,2010-04-01,13427.0
아바타,"[dict_values(['SF']), dict_values(['액션']), dict_values(['어드벤처'])]",20091217,161,12세이상관람가,제임스 카메론,1,3,아바타,20090834,2009-12-17,13280174.0
회복,[dict_values(['다큐멘터리'])],20100114,94,12세이상관람가,김종철,47,1,회복,20100027,2010-01-14,138941.0
그린 존,"[dict_values(['드라마']), dict_values(['전쟁']), dict_values(['액션'])]",20100325,114,15세이상관람가,폴 그린그래스,1,2,그린 존,20090948,2010-03-25,582714.0
셔터 아일랜드,"[dict_values(['드라마']), dict_values(['미스터리']), dict_values(['스릴러'])]",20100318,138,15세이상관람가,마틴 스코세이지,0,2,셔터 아일랜드,20100103,2010-03-18,978615.0
집 나온 남자들,"[dict_values(['코미디']), dict_values(['드라마'])]",20100408,108,15세이상관람가,이하,145,15,집 나온 남자들,20090947,2010-04-08,22770.0
이상한 나라의 앨리스,"[dict_values(['판타지']), dict_values(['어드벤처']), dict_values(['가족'])]",20100304,108,전체관람가,팀 버튼,0,6,이상한 나라의 앨리스,20090930,2010-03-04,2138986.0
프로포즈 데이,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100408,100,12세이상관람가,아넌드 터커,0,2,프로포즈 데이,20100128,2010-04-08,104029.0
크레이지,"[dict_values(['공포(호러)']), dict_values(['SF']), dict_values(['스릴러'])]",20100408,100,청소년관람불가,브렉 에이즈너,2,4,크레이지,20100142,2010-04-08,138783.0
작은 연못,"[dict_values(['드라마']), dict_values(['전쟁'])]",20100415,86,15세이상관람가,이상우,199,45,작은 연못,20061214,2010-04-15,32684.0
G-포스: 기니피그 특공대,"[dict_values(['가족']), dict_values(['어드벤처']), dict_values(['액션'])]",20100422,90,전체관람가,호이트 예이트만,0,8,G-포스: 기니피그 특공대,20090866,2010-04-22,21462.0
바운티 헌터,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100415,110,15세이상관람가,앤디 테넌트,0,2,바운티 헌터,20100170,2010-04-15,56543.0
일라이,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['드라마']), dict_values(['스릴러']), dict_values(['서부극(웨스턴)'])]",20100415,117,15세이상관람가,알렌 휴즈,0,2,일라이,20100143,2010-04-15,212167.0
허트 로커,"[dict_values(['전쟁']), dict_values(['액션'])]",20100422,130,15세이상관람가,캐서린 비글로우,0,6,허트 로커,20100176,2010-04-22,165089.0
킥 애스: 영웅의 탄생,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['코미디'])]",20100422,117,청소년관람불가,매튜 본,0,4,킥 애스: 영웅의 탄생,20100169,2010-04-22,149563.0
반가운 살인자,"[dict_values(['코미디']), dict_values(['스릴러'])]",20100408,107,15세이상관람가,김동욱,207,14,반가운 살인자,20100129,2010-04-08,585556.0
타이탄,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['판타지'])]",20100401,106,12세이상관람가,루이스 리테리어,0,5,타이탄,20100018,2010-04-01,2640689.0
브라더스,"[dict_values(['드라마']), dict_values(['전쟁'])]",20100505,104,15세이상관람가,짐 쉐리단,0,3,브라더스,20100189,2010-05-05,64695.0
육혈포 강도단,"[dict_values(['코미디']), dict_values(['드라마']), dict_values(['액션'])]",20100318,107,15세이상관람가,강효진,191,29,육혈포 강도단,20090939,2010-03-18,1212728.0
케로로 더 무비 5: 기적의 사차원섬,"[dict_values(['애니메이션']), dict_values(['어드벤처']), dict_values(['가족'])]",20100429,74,전체관람가,사토 준이치,0,0,케로로 더 무비 5: 기적의 사차원섬,20100166,2010-04-29,114101.0
블라인드 사이드,[dict_values(['드라마'])],20100415,128,12세이상관람가,존 리 행콕,0,1,블라인드 사이드,20100165,2010-04-15,343964.0
친정엄마,"[dict_values(['드라마']), dict_values(['가족'])]",20100422,108,전체관람가,유성엽,182,21,친정엄마,20100168,2010-04-22,463669.0
베스트셀러,"[dict_values(['미스터리']), dict_values(['스릴러']), dict_values(['드라마'])]",20100415,117,15세이상관람가,이정호,247,22,베스트셀러,20100131,2010-04-15,1077983.0
서태지밴드 라이브 투어 <더 뫼비우스>,"[dict_values(['다큐멘터리']), dict_values(['공연'])]",20100521,87,전체관람가,서태지,2,1,서태지밴드 라이브 투어 <더 뫼비우스>,20100266,2010-05-21,10251.0
하하하,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100505,116,청소년관람불가,홍상수,46,10,하하하,20100202,2010-05-05,34044.0
나이트메어,"[dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100520,94,청소년관람불가,사무엘 베이어,0,9,나이트메어,20100192,2010-05-20,131824.0
대한민국 1%,"[dict_values(['드라마']), dict_values(['액션'])]",20100505,105,12세이상관람가,조명남,187,25,대한민국 1%,20100198,2010-05-05,438045.0
아이언맨 2,"[dict_values(['SF']), dict_values(['액션']), dict_values(['어드벤처'])]",20100429,125,12세이상관람가,존 파브로,0,5,아이언맨 2,20090933,2010-04-29,4418994.0
꿈은 이루어진다,"[dict_values(['코미디']), dict_values(['드라마'])]",20100527,113,15세이상관람가,계윤식,176,15,꿈은 이루어진다,20100206,2010-05-27,97231.0
로빈 후드,"[dict_values(['액션']), dict_values(['드라마']), dict_values(['사극'])]",20100513,140,15세이상관람가,리들리 스콧,0,3,로빈 후드,20090951,2010-05-13,1568371.0
엣지 오브 다크니스,"[dict_values(['범죄']), dict_values(['드라마']), dict_values(['미스터리']), dict_values(['스릴러'])]",20100602,104,15세이상관람가,마틴 캠벨,2,1,엣지 오브 다크니스,20090921,2010-06-02,192474.0
유령작가,"[dict_values(['미스터리']), dict_values(['스릴러'])]",20100602,128,15세이상관람가,로만 폴란스키,0,5,유령작가,20100278,2010-06-02,172741.0
내 깡패 같은 애인,"[dict_values(['드라마']), dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20100520,105,15세이상관람가,김광식,212,21,내 깡패 같은 애인,20100256,2010-05-20,687678.0
하녀,"[dict_values(['스릴러']), dict_values(['멜로/로맨스'])]",20100513,106,청소년관람불가,임상수,241,13,하녀,20100188,2010-05-13,2264527.0
구르믈 버서난 달처럼,"[dict_values(['사극']), dict_values(['액션'])]",20100428,111,15세이상관람가,이준익,279,31,구르믈 버서난 달처럼,20090931,2010-04-28,1381303.0
토마스와 친구들 - 극장판 2,"[dict_values(['애니메이션']), dict_values(['액션']), dict_values(['어드벤처']), dict_values(['가족'])]",20100610,61,전체관람가,그렉 티어넌,0,3,토마스와 친구들 - 극장판 2,20100332,2010-06-10,9330.0
엽문2,"[dict_values(['액션']), dict_values(['드라마'])]",20100616,108,15세이상관람가,엽위신,0,5,엽문2,20100311,2010-06-16,49349.0
페르시아의 왕자: 시간의 모래,"[dict_values(['액션']), dict_values(['어드벤처']), dict_values(['판타지'])]",20100527,116,12세이상관람가,마이크 뉴웰,0,3,페르시아의 왕자: 시간의 모래,20100193,2010-05-27,1964593.0
런어웨이즈,[dict_values(['드라마'])],20100624,106,청소년관람불가,플로리아 시지스몬디,1,3,런어웨이즈,20100330,2010-06-24,2656.0
베스트 키드,"[dict_values(['가족']), dict_values(['드라마']), dict_values(['액션'])]",20100610,140,12세이상관람가,해럴드 즈워트,0,2,베스트 키드,20100292,2010-06-10,283994.0
드래곤 길들이기,"[dict_values(['애니메이션']), dict_values(['코미디']), dict_values(['어드벤처']), dict_values(['가족'])]",20100520,98,전체관람가,딘 데블로이스,0,2,드래곤 길들이기,20100190,2010-05-20,2550119.0
여대생 기숙사,"[dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100623,101,청소년관람불가,스튜어트 헨들러,0,4,여대생 기숙사,20100335,2010-06-23,58807.0
스트리트댄스,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100616,98,12세이상관람가,맥스 기와,0,2,스트리트댄스,20100291,2010-06-16,127581.0
섹스 앤 더 시티 2,"[dict_values(['드라마']), dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20100610,144,청소년관람불가,마이클 패트릭 킹,0,5,섹스 앤 더 시티 2,20100285,2010-06-10,390188.0
A-특공대,[dict_values(['액션'])],20100610,119,15세이상관람가,조 카나한,0,6,A-특공대,20100295,2010-06-10,766887.0
아마존의 눈물,[dict_values(['다큐멘터리'])],20100325,88,15세이상관람가,김현철,59,1,아마존의 눈물,20100141,2010-03-25,102999.0
필립모리스,"[dict_values(['코미디']), dict_values(['드라마'])]",20100701,97,청소년관람불가,존 레쿼,0,2,필립모리스,20100339,2010-07-01,81054.0
시,[dict_values(['드라마'])],20100513,139,15세이상관람가,이창동,209,24,시,20100191,2010-05-13,216960.0
킬러 인사이드 미,"[dict_values(['범죄']), dict_values(['드라마']), dict_values(['스릴러'])]",20100707,103,청소년관람불가,마이클 윈터바텀,0,5,킬러 인사이드 미,20100362,2010-07-07,47459.0
스플라이스,"[dict_values(['SF']), dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100701,103,청소년관람불가,빈센조 나탈리,0,2,스플라이스,20090943,2010-07-01,161546.0
방자전,"[dict_values(['사극']), dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20100602,124,청소년관람불가,김대우,316,37,방자전,20090927,2010-06-02,2979820.0
맨발의 꿈,[dict_values(['드라마'])],20100624,121,전체관람가,김태균,165,5,맨발의 꿈,20100210,2010-06-24,329674.0
아더와 미니모이 2 : 셀레니아 공주 구출 작전,"[dict_values(['판타지']), dict_values(['어드벤처']), dict_values(['애니메이션'])]",20100708,94,전체관람가,뤽 베송,0,4,아더와 미니모이 2 : 셀레니아 공주 구출 작전,20100376,2010-07-08,44035.0
파괴된 사나이,"[dict_values(['드라마']), dict_values(['스릴러'])]",20100701,114,청소년관람불가,우민호,220,19,파괴된 사나이,20100353,2010-07-01,1008614.0
이클립스,"[dict_values(['판타지']), dict_values(['멜로/로맨스']), dict_values(['스릴러'])]",20100707,124,12세이상관람가,데이빗 슬레이드,2,3,이클립스,20100361,2010-07-07,2051994.0
포화속으로,"[dict_values(['드라마']), dict_values(['전쟁'])]",20100616,120,12세이상관람가,이재한,325,53,포화속으로,20100296,2010-06-16,3318086.0
나잇&데이,"[dict_values(['액션']), dict_values(['코미디'])]",20100624,109,15세이상관람가,제임스 맨골드,0,2,나잇&데이,20100310,2010-06-24,2241590.0
마법사의 제자,"[dict_values(['드라마']), dict_values(['액션']), dict_values(['판타지']), dict_values(['어드벤처'])]",20100721,107,전체관람가,존 터틀타웁,0,2,마법사의 제자,20100381,2010-07-21,558294.0
극장판 도라에몽: 진구의 인어대해전,"[dict_values(['애니메이션']), dict_values(['가족']), dict_values(['판타지'])]",20100728,98,전체관람가,쿠스바 고조,0,3,극장판 도라에몽: 진구의 인어대해전,20100379,2010-07-28,188510.0
슈렉 포에버,"[dict_values(['애니메이션']), dict_values(['코미디']), dict_values(['가족'])]",20100701,93,전체관람가,마이크 미첼,0,8,슈렉 포에버,20100333,2010-07-01,2218957.0
고死 두 번째 이야기: 교생실습,"[dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100728,84,15세이상관람가,유선동,230,30,고死 두 번째 이야기: 교생실습,20100326,2010-07-28,833769.0
마음이2,[dict_values(['드라마'])],20100721,92,전체관람가,이정철,274,13,마음이2,20100380,2010-07-21,654626.0
명탐정 코난: 천공의 난파선,"[dict_values(['애니메이션']), dict_values(['가족'])]",20100721,100,전체관람가,야마모토 야스이치로,0,7,명탐정 코난: 천공의 난파선,20100378,2010-07-21,590172.0
오션스,"[dict_values(['다큐멘터리']), dict_values(['드라마'])]",20100728,87,전체관람가,자크 클로드,0,3,오션스,20090953,2010-07-28,620710.0
디센트: Part 2,"[dict_values(['공포(호러)']), dict_values(['스릴러']), dict_values(['어드벤처'])]",20100811,93,청소년관람불가,존 해리스,0,10,디센트: Part 2,20100763,2010-08-11,48085.0
내니맥피 2: 유모와마법소동,"[dict_values(['가족']), dict_values(['코미디']), dict_values(['판타지'])]",20100811,109,전체관람가,수잔나 화이트,0,1,내니맥피 2: 유모와마법소동,20090952,2010-08-11,157472.0
오션월드 3D,"[dict_values(['다큐멘터리']), dict_values(['어드벤처'])]",20100811,82,전체관람가,장-자크 망텔로,0,1,오션월드 3D,20100758,2010-08-11,101969.0
엑스페리먼트,"[dict_values(['드라마']), dict_values(['스릴러'])]",20100811,95,15세이상관람가,폴 쉐어링,0,3,엑스페리먼트,20100764,2010-08-11,73542.0
이끼,"[dict_values(['드라마']), dict_values(['스릴러'])]",20100714,163,청소년관람불가,강우석,237,17,이끼,20100209,2010-07-14,3348591.0
폐가,[dict_values(['공포(호러)'])],20100819,84,15세이상관람가,이철하,91,7,폐가,20100769,2010-08-19,169726.0
스텝 업 3D,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20100805,107,12세이상관람가,존 추,0,3,스텝 업 3D,20100382,2010-08-05,646594.0
솔트,"[dict_values(['스릴러']), dict_values(['액션'])]",20100729,99,15세이상관람가,필립 노이스,0,1,솔트,20100370,2010-07-29,2865244.0
마법천자문: 대마왕의 부활을 막아라,[dict_values(['애니메이션'])],20100819,85,전체관람가,윤영기,306,6,마법천자문: 대마왕의 부활을 막아라,20100788,2010-08-19,81939.0
아바타 3D 스페셜에디션,"[dict_values(['SF']), dict_values(['액션'])]",20100904,170,12세이상관람가,제임스 카메론,0,2,아바타 3D 스페셜에디션,20100796,2010-09-04,101414.0
죽이고 싶은,[dict_values(['스릴러'])],20100826,92,청소년관람불가,김상화,195,8,죽이고 싶은,20100300,2010-08-26,104251.0
익스펜더블,"[dict_values(['스릴러']), dict_values(['액션'])]",20100819,103,청소년관람불가,실베스터 스탤론,0,9,익스펜더블,20100768,2010-08-19,384495.0
센츄리온,"[dict_values(['액션']), dict_values(['드라마']), dict_values(['스릴러'])]",20100826,97,청소년관람불가,닐 마샬,0,3,센츄리온,20100815,2010-08-26,65595.0
골든 슬럼버,[dict_values(['스릴러'])],20100826,139,12세이상관람가,나카무라 요시히로,0,2,골든 슬럼버,20100789,2010-08-26,59050.0
프레데터스,"[dict_values(['액션']), dict_values(['스릴러']), dict_values(['SF']), dict_values(['어드벤처'])]",20100826,106,15세이상관람가,님로드 안탈,0,3,프레데터스,20100794,2010-08-26,248649.0
토이 스토리 3,"[dict_values(['가족']), dict_values(['코미디']), dict_values(['판타지'])]",20100805,102,전체관람가,리 언크리치,0,2,토이 스토리 3,20100377,2010-08-05,1447583.0
애프터 라이프,"[dict_values(['드라마']), dict_values(['미스터리']), dict_values(['스릴러'])]",20100902,103,15세이상관람가,아그네츠카 보토위츠 보슬루,0,3,애프터 라이프,20100808,2010-09-02,105858.0
뮬란: 전사의 귀환,"[dict_values(['액션']), dict_values(['드라마'])]",20100902,110,12세이상관람가,마초성,0,2,뮬란: 전사의 귀환,20100807,2010-09-02,109279.0
에브리바디 올라잇,"[dict_values(['코미디']), dict_values(['드라마'])]",20100902,106,청소년관람불가,리사 촐로덴코,0,5,에브리바디 올라잇,20100809,2010-09-02,51009.0
라스트 에어벤더,"[dict_values(['액션']), dict_values(['가족']), dict_values(['판타지']), dict_values(['어드벤처'])]",20100819,103,전체관람가,M. 나이트 샤말란,0,4,라스트 에어벤더,20100767,2010-08-19,1368466.0
악마를 보았다,[dict_values(['스릴러'])],20100812,144,청소년관람불가,김지운,402,24,악마를 보았다,20100301,2010-08-12,1812751.0
킬러스,"[dict_values(['액션']), dict_values(['코미디']), dict_values(['멜로/로맨스'])]",20100902,100,15세이상관람가,로버트 루게틱,2,2,킬러스,20100766,2010-09-02,313817.0
피라냐,"[dict_values(['액션']), dict_values(['공포(호러)']), dict_values(['스릴러'])]",20100826,88,청소년관람불가,알렉산더 아야,0,5,피라냐,20100816,2010-08-26,504428.0
김복남 살인사건의 전말,"[dict_values(['스릴러']), dict_values(['드라마'])]",20100902,115,청소년관람불가,장철수,152,15,김복남 살인사건의 전말,20100281,2010-09-02,143099.0
인셉션,"[dict_values(['드라마']), dict_values(['미스터리'])]",20100721,147,12세이상관람가,크리스토퍼 놀란,0,3,인셉션,20100312,2010-07-21,5818753.0
노다메 칸타빌레 Vol.1,"[dict_values(['코미디']), dict_values(['드라마']), dict_values(['뮤지컬'])]",20100909,121,전체관람가,타케우치 히데키,0,2,,,,
캣츠 앤 독스 2,"[dict_values(['가족']), dict_values(['코미디']), dict_values(['액션'])]",20100916,82,전체관람가,브래드 페이튼,0,7,캣츠 앤 독스 2,20100812,2010-09-16,99424.0
그랑프리,[dict_values(['드라마'])],20100916,109,12세이상관람가,양윤호,280,22,그랑프리,20100329,2010-09-16,163247.0
퀴즈왕,[dict_values(['코미디'])],20100916,121,15세이상관람가,장진,248,29,퀴즈왕,20100813,2010-09-16,561037.0
마루 밑 아리에티,[dict_values(['애니메이션'])],20100909,94,전체관람가,요네바야시 히로마사,0,8,마루 밑 아리에티,20100810,2010-09-09,1046019.0
해결사,"[dict_values(['액션']), dict_values(['스릴러'])]",20100909,100,15세이상관람가,권혁재,312,27,해결사,20100305,2010-09-09,1832719.0
레지던트 이블 4: 끝나지 않은 전쟁 3D,"[dict_values(['공포(호러)']), dict_values(['스릴러']), dict_values(['액션'])]",20100916,96,청소년관람불가,폴 W.S. 앤더슨,0,2,레지던트 이블 4: 끝나지 않은 전쟁 3D,20100811,2010-09-16,1186682.0
무적자,"[dict_values(['드라마']), dict_values(['액션'])]",20100916,124,15세이상관람가,송해성,385,21,무적자,20100833,2010-09-16,1534834.0
슈퍼  배드,"[dict_values(['애니메이션']), dict_values(['가족'])]",20100916,95,전체관람가,피에르 꼬팽,0,4,슈퍼  배드,20100814,2010-09-16,997452.0
